id,geometry_type,wkt,area_m2,area_km2,centroid_lon,centroid_lat,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parts,holes,vertices,label,area_const,cbml,cobama,fecha_sinc,id_constru,numero_edi,numero_mej,numero_mez,numero_pis,numero_sem,numero_sot,Shape_Area,Shape_Leng,tipo_const
11,MultiPolygon,"MULTIPOLYGON (((-75.54746157902251 6.299991648281694, -75.54746486463289 6.29998520494584, -75.54748560277976 6.299995211536645, -75.54749395535691 6.299980924744501, -75.54751859031411 6.299993083958549, -75.54751554840765 6.29999891764107, -75.54751524673108 6.299999497742252, -75.54749686606125 6.299990423522359, -75.54748902308872 6.300004892262616, -75.54746157902251 6.299991648281694)))",6,0.000006,-75.54749347515498,6.29999331162617,-75.54751859031411,6.299980924744501,-75.54746157902251,6.300004892262616,1,0,10,,12,01030510014,0103051,2026-06-20,01030510014_0000,0,0,0,2,0,0,5.99850853527,16.480143451,N
12,MultiPolygon,"MULTIPOLYGON (((-75.5475123706915 6.300113024031715, -75.54752339614468 6.300092272485047, -75.54753695617734 6.300099488809336, -75.54754331679993 6.30008751540804, -75.5475297576712 6.300080299079407, -75.5475566623215 6.300029661604893, -75.54756005483301 6.300023275609319, -75.54756083200328 6.300021812586565, -75.54758944662836 6.300038104909822, -75.54758460017959 6.300047808842264, -75.54755883337566 6.300095531347643, -75.54754981041286 6.300112239897686, -75.547540244824 6.300129961888565, -75.54752909680167 6.300123187642198, -75.54752163910365 6.300118654726608, -75.5475123706915 6.300113024031715)))",39,0.000039,-75.54754646786454,6.300080855924608,-75.54758944662836,6.300021812586565,-75.5475123706915,6.300129961888565,1,0,16,,39.23,01030510016,0103051,2026-06-20,01030510016_0000,0,0,0,1,0,0,39.226187875,33.6058488935,N
13,MultiPolygon,"MULTIPOLYGON (((-75.54754981041286 6.300112239897686, -75.54755883337566 6.300095531347643, -75.54758701438794 6.300109622483042, -75.547578958807 6.3001268136201, -75.54754981041286 6.300112239897686)))",7,0.000007,-75.54756865424586,6.300111051837118,-75.54758701438794,6.300095531347643,-75.54754981041286,6.3001268136201,1,0,5,,7.45,01030510017,0103051,2026-06-20,01030510017_0000,0,0,0,1,0,0,7.44571234136,11.2935712743,N
14,MultiPolygon,"MULTIPOLYGON (((-75.54758701438794 6.300109622483042, -75.54759772874753 6.300086781260227, -75.54761970799395 6.300097440872541, -75.54759450173377 6.300153376245951, -75.54758697167308 6.300150309239974, -75.54757949773469 6.300147262754093, -75.54759526433502 6.30011374558378, -75.54758701438794 6.300109622483042)))",15,0.000015,-75.54759438380084,6.300122648348515,-75.54761970799395,6.300086781260227,-75.54757949773469,6.300153376245951,1,0,8,,14.73,01030510017,0103051,2026-06-20,01030510017_0000,0,0,0,1,0,0,14.73302471,19.1916538434,N
15,MultiPolygon,"MULTIPOLYGON (((-75.54755883337566 6.300095531347643, -75.54758460017959 6.300047808842264, -75.54758874643352 6.300049602221642, -75.54763270712952 6.300068596077582, -75.54761970799395 6.300097440872541, -75.54759772874753 6.300086781260227, -75.54758701438794 6.300109622483042, -75.54755883337566 6.300095531347643)))",30,0.000030,-75.54759561974967,6.300079340443562,-75.54763270712952,6.300047808842264,-75.54755883337566,6.300109622483042,1,0,8,,58.76,01030510017,0103051,2026-06-20,01030510017_0000,0,0,0,2,0,0,29.377597816,24.2793230015,N
16,MultiPolygon,"MULTIPOLYGON (((-75.54758874643352 6.300049602221642, -75.54759359557521 6.300039894659645, -75.54761256191817 6.300048073661553, -75.54761112516597 6.300051395130771, -75.54763567302614 6.300061999701228, -75.54763270712952 6.300068596077582, -75.54758874643352 6.300049602221642)))",5,0.000005,-75.54761240154143,6.30005326024207,-75.54763567302614,6.300039894659645,-75.54758874643352,6.300068596077582,1,0,7,,5.14,01030510017,0103051,2026-06-20,01030510017_0000,0,0,0,1,0,0,5.14316236271,12.9450201175,N
17,MultiPolygon,"MULTIPOLYGON (((-75.54759450173377 6.300153376245951, -75.54761970799395 6.300097440872541, -75.54763270712952 6.300068596077582, -75.54764929574262 6.300075765958867, -75.54766952579253 6.300084602397234, -75.5476515581937 6.300145363780134, -75.54764759893214 6.300158743991229, -75.54763738515298 6.300155290483025, -75.5476222830582 6.300150183741096, -75.54761896924236 6.30015973462528, -75.54759981249596 6.300154756184276, -75.54759450173377 6.300153376245951)))",48,0.000048,-75.54763121322435,6.300127623123384,-75.54766952579253,6.300068596077582,-75.54759450173377,6.30015973462528,1,0,12,,141.84,01030510018,0103051,2026-06-20,01030510018_0000,0,0,0,3,0,0,47.283363503,30.154876239,N
18,MultiPolygon,"MULTIPOLYGON (((-75.54763270712952 6.300068596077582, -75.54763567302614 6.300061999701228, -75.54765145018692 6.300068792014423, -75.54764929574262 6.300075765958867, -75.54763270712952 6.300068596077582)))",2,0.000002,-75.54764228152129,6.3000687884380255,-75.54765145018692,6.300061999701228,-75.54763270712952,6.300075765958867,1,0,5,,3.12,01030510018,0103051,2026-06-20,01030510018_0000,0,0,0,2,0,0,1.56290981785,5.50814405897,N
19,MultiPolygon,"MULTIPOLYGON (((-75.54984758472501 6.296923787935153, -75.54985525323983 6.296896552300415, -75.54986229486583 6.296901933467898, -75.5498817532585 6.296879331607262, -75.54990180142711 6.296897583315967, -75.54991022365311 6.296888143994028, -75.54992959148787 6.296906592504437, -75.54990480340635 6.29693077728166, -75.54989057121327 6.296944663354937, -75.54988393361523 6.296939864264591, -75.54986419669382 6.296925585474956, -75.54984758472501 6.296923787935153)))",34,0.000034,-75.54988472796235,6.2969122559546635,-75.54992959148787,6.296879331607262,-75.54984758472501,6.296944663354937,1,0,12,,68.28,01030100030,0103010,2026-06-20,01030100030_0000,0,0,0,2,0,0,34.1363283028,26.2515025116,N
20,MultiPolygon,"MULTIPOLYGON (((-75.54948634076075 6.297224983558372, -75.5495084664028 6.297222901774218, -75.54953544799399 6.297225474997015, -75.54956242779544 6.297228051843561, -75.54954113148119 6.297286190357851, -75.54953384277786 6.297306088239884, -75.54952461912447 6.297331273737717, -75.54949861874954 6.297320913193313, -75.54950189555177 6.297312487203568, -75.54948503095186 6.297305770756659, -75.54945382219547 6.29729333904451, -75.54948634076075 6.297224983558372)))",87,0.000087,-75.54951196761682,6.297277952246062,-75.54956242779544,6.297222901774218,-75.54945382219547,6.297331273737717,1,0,12,,258.06,01030100086,0103010,2026-06-20,01030100086_0000,0,0,0,3,0,0,86.0201262887,38.8158401601,N
